index,STATE,FIPS,COUNTYNAME,area_km2,city,lat,lon,population
178,TX,48427,Starr,3183.686,Rio Grande City,26.3808,-98.8215,51455
179,TX,48429,Stephens,2386.781,Breckenridge,32.7566,-98.9125,5182
180,TX,48431,Sterling,2391.744,Sterling City,31.8392,-100.986,1173
181,TX,48433,Stonewall,2383.603,Aspermont,33.1405,-100.2253,953
182,TX,48435,Sutton,3766.846,Sonora,30.5707,-100.6423,2746
183,TX,48437,Swisher,2332.74,Tulia,34.5374,-101.7741,5768
184,TX,48439,Tarrant,2324.58,Fort Worth,32.7817,-97.3474,2050487
185,TX,48441,Taylor,2380.792,Abilene,32.4543,-99.7384,137339
186,TX,48443,Terrell,6106.745,Sanderson,30.1508,-102.4079,678
187,TX,48447,Throckmorton,2371.199,Woodson,33.0149,-99.0534,1046
188,TX,48449,Titus,1102.713,Mount Pleasant,33.1586,-94.9727,17104
189,TX,48451,Tom Green,3990.151,San Angelo,31.4424,-100.4504,104626
190,TX,48453,Travis,2647.118,Austin,30.3005,-97.7522,2115335
191,TX,48461,Upton,3216.559,McCamey,31.1325,-102.22,2739
192,TX,48463,Uvalde,4037.027,Uvalde,29.2152,-99.7782,19372
193,TX,48465,Val Verde,8372.012,Del Rio,29.3708,-100.8801,41834
194,TX,48467,Van Zandt,2226.003,Canton,32.5546,-95.8641,20235
195,TX,48469,Victoria,2301.339,Victoria,28.8287,-96.9849,72437
196,TX,48471,Walker,2075.769,Huntsville,30.7009,-95.5567,49143
197,TX,48473,Waller,1342.792,Katy,29.7905,-95.8353,48325
198,TX,48475,Ward,2164.432,Monahans,31.6289,-103.0403,10643
199,TX,48477,Washington,1609.329,Brenham,30.1584,-96.3966,18305
200,TX,48479,Webb,8742.971,Laredo,27.5625,-99.4874,266612
201,TX,48481,Wharton,2834.171,El Campo,29.2,-96.2723,25097
202,TX,48483,Wheeler,2370.741,Shamrock,35.2154,-100.2462,3499
203,TX,48485,Wichita,1639.434,Wichita Falls,33.9072,-98.5291,123066
204,TX,48487,Wilbarger,2533.078,Vernon,34.1479,-99.3,10434
205,TX,48489,Willacy,1566.371,Raymondville,26.4759,-97.7769,16202
206,TX,48491,Williamson,2939.067,Round Rock,30.527,-97.6642,447615
207,TX,48493,Wilson,2094,Floresville,29.1451,-98.1651,11652
208,TX,48495,Winkler,2178.653,Kermit,31.854,-103.0924,7009
209,TX,48497,Wise,2390.113,Decatur,33.2263,-97.5875,32053
210,TX,48499,Wood,1801.835,Mineola,32.6462,-95.4774,16153
211,TX,48503,Young,2410.803,Graham,33.1017,-98.5779,12525
212,TX,48505,Zapata,2740.286,Zapata,26.9026,-99.2612,12945
213,TX,48507,Zavala,3371.615,Crystal City,28.6908,-99.8258,8985
