ISO,inv_sce,nNodes,ny,ensid,in_sample_year_list,num_rep_days,RPS,line limit rate,CRM reserve,run time(s),greenfield_vRE,greenfield_thermal,greenfield_line,greenfield_storage,VRE_expansion_allowed,thermal_expansion_allowed,line_expansion_allowed,storage_expansion_allowed,total system cost,vRE_est_cost,vRE_FOM_cost,solar-UPV_total_cap,solar-UPV_new_cap,solar-UPV_FOM_cost,solar-UPV_gen,solar-UPV_est_cost,wind-onshore_total_cap,wind-onshore_new_cap,wind-onshore_FOM_cost,wind-onshore_gen,wind-onshore_est_cost,thermal_est_cost,thermal_FOM_cost,thermal_VOM_cost,CCGT_total_cap,CCGT_new_cap,CCGT_FOM_cost,CCGT_gen,CCGT_est_cost,gas fuel cost,Line_total_cap,Line_new_cap,Line_num,Line_FOM_cost,Line_est_cost,Line_flow,storage_total_cap,storage_new_cap,storage_FOM_cost,storage_est_cost,shed load,shedding cost,total generation,storage_charge,storage_discharge,total demand
ERCOT,historic,214,2,20,"[np.int64(2012), np.int64(2004)]",730,1,100,0,20090.70892,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.10E+11,25039053906,5929250695,122975.3574,122975.3574,2951408578,381611073.5,13533929027,93057.56616,93057.56616,2977842117,433202140.8,11505124880,0,0,0,0,0,0,0,0,0,424081.7757,424081.7757,459,0,1616024571,3852886146,90665.71472,90665.71472,4367820807,18224729933,0.002145691,214.5691189,814813214.2,642690390.5,543956047.7,716078871.4
ERCOT,historic,214,2,21,"[np.int64(2012), np.int64(2014)]",730,1,100,0,17437.30974,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.02E+11,26017451322,6332565598,89512.92776,89512.92776,2148310266,225245012.2,9851255053,130757.9791,130757.9791,4184255332,581199421.2,16166196269,0,0,0,0,0,0,0,0,0,445540.9488,445540.9488,459,0,1724370084,3562140198,67457.11468,67457.11468,3249746500,13559565497,0.004835082,483.5082377,806444433.4,544371218.9,460813047.7,722886262.2
ERCOT,historic,214,2,22,"[np.int64(2012), np.int64(2016)]",730,1,100,0,21458.92884,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.11E+11,26708061220,6389574287,116656.8012,116656.8012,2799763229,333220967.9,12838546689,112181.5956,112181.5956,3589811058,492781316.3,13869514531,0,0,0,0,0,0,0,0,0,367044.0264,367044.0264,459,0,1431482896,3400171955,84255.85681,84255.85681,4059025902,16936283361,0.002261851,226.1851003,826002284.2,698993413.8,591635419.5,718644289.9
ERCOT,historic,214,2,23,"[np.int64(2012), np.int64(2018)]",730,1,100,0,18390.82243,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.24E+11,28805178696,6895733097,124824.6504,124824.6504,2995791609,324331719.2,13737451100,121873.1715,121873.1715,3899941488,516315835.9,15067727596,0,0,0,0,0,0,0,0,0,389737.3938,389737.3938,459,0,1509096486,3526242794,92890.8001,92890.8001,4475014295,18671994704,31258.35805,3125835805,840647555.1,722227581.4,611320918.5,729772150.7
ERCOT,historic,214,2,24,"[np.int64(2002), np.int64(2009)]",730,1,100,0,15132.1523,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.16E+11,27111031488,6532250938,108100.0707,108100.0707,2594401697,273861253.6,11896844338,123057.7888,123057.7888,3937849241,548290118.1,15214187151,0,0,0,0,0,0,0,0,0,468591.5482,468591.5482,459,0,1741457687,3993858494,77012.72126,77012.72126,3710087846,15480339516,73171.69817,7317169817,822151371.7,660463939.9,559053297.5,720813901
ERCOT,historic,214,2,25,"[np.int64(2002), np.int64(2017)]",730,1,100,0,17679.77017,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.06E+11,26626309817,6405132945,108469.9084,108469.9084,2603277802,278200296.2,11937546454,118807.9732,118807.9732,3801855143,533077338.2,14688763363,0,0,0,0,0,0,0,0,0,392414.037,392414.037,459,0,1537388969,3439862271,74175.33302,74175.33302,3573396668,14909995649,0.002702798,270.2797691,811277634.4,619562102,524371956.9,716087489.3
ERCOT,historic,214,2,26,"[np.int64(2002), np.int64(2004)]",730,1,100,0,21228.31952,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.09E+11,24316349425,5729258657,125859.705,125859.705,3020632920,415986216.3,13851362992,84644.55428,84644.55428,2708625737,408523790.1,10464986433,0,0,0,0,0,0,0,0,0,409786.0991,409786.0991,459,0,1691388090,3910422190,91291.26902,91291.26902,4397956885,18350472703,0.011342625,1134.262547,824510006.4,721731224.3,610861619.6,713640401.7
ERCOT,historic,214,2,27,"[np.int64(2002), np.int64(2014)]",730,1,100,0,15021.21343,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,99442744185,25211317100,6114112985,91698.64968,91698.64968,2200767592,243209674.5,10091802477,122292.0435,122292.0435,3913345392,559857167.5,15119514623,0,0,0,0,0,0,0,0,0,431839.7294,431839.7294,459,0,1668809399,3619744585,67127.32142,67127.32142,3233858709,13493273701,0.003971687,397.1687076,803066842,538357371,455738321.5,720447792.6
ERCOT,historic,214,2,28,"[np.int64(2002), np.int64(2016)]",730,1,100,0,14931.39601,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.11E+11,26402292755,6310610271,116617.2792,116617.2792,2798814701,323144775,12834197137,109743.6116,109743.6116,3511795570,495267722.9,13568095618,0,0,0,0,0,0,0,0,0,349321.3768,349321.3768,459,0,1389245264,3270284159,85240.08172,85240.08172,4106440937,17134122568,0.000561542,56.15422694,818412497.9,665723316.7,563516639,716205820.3
ERCOT,historic,214,2,29,"[np.int64(2002), np.int64(2018)]",730,1,100,0,14079.43647,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.24E+11,28673866676,6865535050,123979.8093,123979.8093,2975515423,314479032.4,13644472965,121563.1133,121563.1133,3890019627,523183672.8,15029393711,0,0,0,0,0,0,0,0,0,384207.4857,384207.4857,459,0,1519357983,3516317261,93230.732,93230.732,4491390514,18740324470,30473.25986,3047325986,837662705.1,718830707.6,608471210.2,727333681
