loc_index,lon,lat,mask,FIPS,distance_miles
3,-97.417,26.353,0.8858438,48061,24.605541185089926
0,-101.463,35.233,1.0,48065,9.087924918869493
1,-101.602,35.337,1.0,48065,12.533255438077873
3,-101.336,35.347,1.0,48065,2.5086413095067064
4,-101.203,35.352,1.0,48065,10.028141081200443
5,-101.609,35.445,1.0,48065,14.594842575146886
6,-101.476,35.451,1.0,48065,9.023279917578947
7,-101.342,35.456,1.0,48065,7.880438518353741
8,-101.209,35.461,1.0,48065,12.503638472267248
4,-102.48,34.536,1.0,48069,9.637824942484366
7,-102.356,34.651,1.0,48069,8.566472020044042
8,-102.224,34.657,1.0,48069,9.920528578804905
9,-102.092,34.663,1.0,48069,15.395131110109393
2,-102.07,34.337,0.99582577,48069,19.261480833386706
1,-102.202,34.331,0.8421854,48069,15.216545630187552
0,-102.464,34.319,0.5614586,48069,17.10659489771271
6,-102.487,34.644,0.49268872,48069,12.638300626415882
0,-94.58,29.656,1.0,48071,22.395924934608207
1,-94.576,29.764,0.67114174,48071,19.093788530985016
2,-94.452,29.761,0.48303622,48071,26.313730022425865
3,-94.946,29.879,1.0,48071,4.519026146931241
4,-94.573,29.872,1.0,48071,18.334019800652747
2,-95.156,31.613,1.0,48073,24.984268864747722
3,-95.281,31.724,1.0,48073,16.588704343211443
8,-95.018,32.044,1.0,48073,15.328371928317948
0,-95.032,31.503,0.94452846,48073,34.535075465062484
7,-95.146,32.046,0.8657166,48073,8.82672836758781
1,-94.905,31.5,0.8060597,48073,38.26337615055158
6,-95.279,31.832,0.5905858,48073,9.165268292903425
5,-95.406,31.834,0.58775973,48073,12.34580908955641
0,-100.365,34.509,0.50886893,48075,8.490566761782713
1,-100.233,34.513,1.0,48075,5.866275431139848
2,-100.369,34.618,1.0,48075,14.630222862240075
3,-100.105,34.625,1.0,48075,15.871765922117056
4,-100.374,34.726,0.501287,48075,21.609488065905577
5,-100.242,34.73,1.0,48075,20.7346286279374
6,-100.11,34.734,1.0,48075,22.501125952171524
3,-98.371,33.681,1.0,48077,13.802903557580798
8,-98.374,33.898,1.0,48077,11.919848451739943
9,-98.243,33.9,1.0,48077,6.565832070362192
10,-98.113,33.901,1.0,48077,7.50366997446673
11,-98.247,34.117,1.0,48077,21.07703457168308
12,-98.116,34.118,1.0,48077,21.366736885999295
2,-98.108,33.575,0.87231946,48077,17.214318102633314
6,-98.111,33.793,0.81964076,48077,4.914412855991664
0,-100.76,31.781,1.0,48081,28.258727600949946
1,-100.633,31.785,1.0,48081,21.029278940946174
2,-100.505,31.79,1.0,48081,13.975702025271385
5,-100.765,31.889,1.0,48081,27.601406845273736
8,-100.642,32.002,1.0,48081,21.87757832127355
10,-100.259,32.014,1.0,48081,9.096384706901093
7,-100.77,31.998,0.9188553,48081,28.931832767455653
4,-100.251,31.797,0.7652294,48081,6.6483155077929466
2,-99.225,31.606,1.0,48083,19.41223590105791
7,-99.617,31.923,1.0,48083,13.06166368072988
9,-99.362,31.928,1.0,48083,7.522825601240535
10,-99.234,31.931,1.0,48083,13.013924259390327
1,-99.479,31.601,0.9169949,48083,16.241946268049954
11,-99.621,32.031,0.6839942,48083,18.024502696687225
4,-99.614,31.814,0.6597634,48083,11.343060182568172
3,-99.483,31.709,0.5636754,48083,9.177949139057453
0,-96.416,33.254,0.53989196,48085,23.853629940046336
1,-96.805,33.363,1.0,48085,21.802874063821424
0,-100.511,34.831,1.0,48087,16.952225895085455
1,-100.379,34.835,1.0,48087,9.466244004282423
2,-100.247,34.839,1.0,48087,2.1349200004414626
3,-100.114,34.843,1.0,48087,5.73138383596135
4,-100.516,34.94,1.0,48087,18.15217728047796
5,-100.384,34.944,1.0,48087,11.483847450798
6,-100.251,34.948,1.0,48087,6.82512267780081
7,-100.521,35.048,1.0,48087,21.973422083352748
0,-96.444,29.358,1.0,48089,24.89152222331266
1,-96.443,29.466,0.9691646,48089,17.875199107582162
2,-96.566,29.574,0.21880025,48089,9.079985980988022
3,-96.318,29.573,0.83592564,48089,17.040660384924063
4,-96.317,29.681,0.7889375,48089,14.538037007493614
0,-98.554,29.78,1.0,48091,26.977523854625066
1,-98.181,29.785,1.0,48091,7.113074661945942
2,-98.182,29.892,1.0,48091,13.866666475409398
0,-98.592,31.725,0.25822037,48093,12.113556311607905
1,-98.721,31.832,0.5905858,48093,8.32841329516951
2,-98.466,31.836,1.0,48093,9.267033114369793
3,-98.211,31.839,1.0,48093,23.510318380097793
4,-98.341,31.945,0.5690862,48093,15.77355231235872
5,-98.854,32.046,0.26606148,48093,17.764567946537582
6,-98.47,32.052,0.27971995,48093,13.083455139503965
7,-98.728,32.157,1.0,48093,19.106770604822167
0,-100.098,31.152,1.0,48095,15.682858472583497
1,-99.845,31.159,1.0,48095,3.948018836568937
4,-99.976,31.264,1.0,48095,8.476584660565527
6,-99.853,31.375,1.0,48095,10.946475218248011
9,-99.73,31.487,1.0,48095,19.830451931242006
8,-99.984,31.48,0.97050583,48095,19.964507390862217
7,-99.726,31.378,0.76790017,48095,13.146663272810015
3,-100.102,31.26,0.5186576,48095,15.566377990026101
0,-97.325,33.472,0.05826962,48097,15.360884634694155
1,-97.456,33.58,0.47094,48097,18.181473129384678
2,-97.326,33.58,0.12061536,48097,11.00320073410293
3,-97.457,33.688,0.9872102,48097,18.085605077790433
4,-97.326,33.689,0.03340453,48097,10.783290942543397
5,-97.458,33.797,1.0,48097,20.87858428367611
