loc_index,lon,lat,mask,FIPS,distance_miles
10,-73.02,44.098,0.48311764,50001,12.636314887683122
6,-73.058,43.994,0.4712789,50001,15.443441040098893
2,-73.242,43.916,0.36551285,50001,17.30168730738693
3,-73.096,43.889,0.34093142,50001,20.738841355455506
0,-73.279,43.811,0.3216801,50001,24.56493081099051
1,-73.387,43.943,0.31323022,50001,16.752451503754646
5,-73.108,42.996,0.68486303,50003,13.334136110368508
3,-73.002,42.864,0.6218813,50003,22.02262563618502
6,-73.215,43.128,0.60665035,50003,9.742475941257839
7,-73.071,43.101,0.5857028,50003,5.851231129920147
8,-73.177,43.233,0.58289987,50003,7.902157929331891
9,-73.033,43.206,0.5751083,50003,1.6684408823600134
1,-73.04,42.759,0.5154117,50003,29.199888257525224
2,-73.146,42.891,0.49321732,50003,20.833629082918158
9,-71.91,44.557,0.45984453,50005,4.773831561104295
7,-72.203,44.614,0.43830767,50005,11.33071278026464
4,-72.243,44.51,0.4130767,50005,12.045147905049795
10,-72.017,44.69,0.37270892,50005,10.722337102202077
0,-72.176,44.273,0.3592133,50005,20.048496594841076
2,-71.99,44.349,0.3415178,50005,12.862731596407077
3,-72.389,44.538,0.33870357,50005,19.128419947513663
5,-72.096,44.481,0.30311745,50005,5.9719464898150365
0,-73.09,44.335,0.24338,50007,12.654347627411356
1,-72.944,44.308,0.52687067,50007,18.880627130461185
2,-72.906,44.412,0.5815171,50007,16.92896141192318
3,-73.014,44.544,0.2428331,50007,11.433937756323873
4,-72.867,44.517,0.5604348,50007,18.13085530885438
10,-71.896,45.002,0.84456885,50009,13.09436958822174
11,-71.749,44.974,0.7973815,50009,13.027614736177096
4,-71.724,44.633,0.7303592,50009,14.743979248626772
8,-71.79,44.87,0.7228143,50009,6.172619532586765
12,-71.602,44.945,0.7195958,50009,16.68543582240047
9,-71.643,44.841,0.7114327,50009,12.111933519204042
7,-71.683,44.737,0.6699957,50009,11.272354509785352
1,-71.764,44.529,0.63888824,50009,20.48077131101393
11,-72.565,44.907,0.69242764,50011,26.36461215278146
7,-72.604,44.802,0.68255126,50011,23.649637844213952
8,-73.007,44.989,0.4966872,50011,12.8129421263819
9,-72.86,44.962,0.4659881,50011,15.143154267046052
3,-72.79,44.726,0.4516279,50011,15.671861920094258
6,-72.751,44.83,0.4414027,50011,16.457199000653834
10,-72.712,44.934,0.42428842,50011,20.157816594829846
5,-72.898,44.857,0.35228232,50011,9.696841778342515
0,-72.721,44.489,0.45663837,50015,7.917582732293427
1,-72.829,44.621,0.48849127,50015,12.409509754935717
2,-72.682,44.593,0.38606215,50015,4.990452811606403
3,-72.535,44.566,0.28698766,50015,2.926669619059211
4,-72.643,44.698,0.554295,50015,9.952656281034052
5,-72.496,44.67,0.4051238,50015,9.083895653124355
0,-72.768,43.939,0.5614936,50017,38.18071134421012
13,-72.361,44.197,0.46184197,50017,15.178325328359051
7,-72.293,43.96,0.44531503,50017,17.660539196268637
14,-72.215,44.168,0.42571244,50017,7.692136633865136
3,-72.332,43.855,0.41150773,50017,24.64343385988391
8,-72.148,43.931,0.40453926,50017,15.974484290133216
11,-72.254,44.064,0.37848386,50017,11.408103948973151
6,-72.439,43.988,0.3712305,50017,22.003503914768647
8,-72.378,44.983,0.56267655,50019,8.868669731230456
11,-71.936,44.898,0.538789,50019,13.665062832984766
1,-72.457,44.774,0.5020391,50019,16.594245011631813
7,-71.977,44.794,0.47714603,50019,15.085679064352652
4,-72.418,44.879,0.3970725,50019,11.015230601190545
3,-72.163,44.718,0.37417895,50019,15.304051091759764
2,-72.31,44.746,0.33970475,50019,14.104389860553617
0,-72.35,44.642,0.3308237,50019,21.530855321888353
13,-72.882,43.625,0.6501649,50021,4.951773815257843
16,-72.844,43.729,0.63778484,50021,10.663121280242649
1,-72.996,43.311,0.58599657,50021,20.605589278471367
5,-72.814,43.388,0.5532893,50021,17.360095994786125
4,-72.958,43.415,0.4917075,50021,13.445539109733858
15,-72.989,43.757,0.46482813,50021,10.217904674062787
0,-73.14,43.338,0.46383134,50021,20.411300620839025
3,-73.102,43.443,0.44406807,50021,13.048356552312686
0,-72.875,44.071,0.62688726,50023,20.277922673094526
9,-72.321,44.301,0.5592391,50023,11.636568689515833
1,-72.729,44.043,0.5297792,50023,15.410157154733053
10,-72.574,44.461,0.49800977,50023,18.324626402080856
4,-72.798,44.28,0.49640253,50023,15.399778304373338
5,-72.652,44.252,0.46930474,50023,7.9842820057649355
2,-72.836,44.175,0.45794165,50023,16.360265296627023
7,-72.613,44.357,0.42675644,50023,12.02820507142953
3,-72.965,42.969,0.60572624,50025,28.230459483116245
6,-72.927,43.073,0.5618249,50025,24.2479460451186
10,-72.746,43.151,0.4600207,50025,14.754550512539149
11,-72.602,43.123,0.4587517,50025,7.474060247693219
7,-72.784,43.046,0.41367975,50025,17.728437729403087
8,-72.641,43.018,0.37913486,50025,12.375706417166954
4,-72.822,42.941,0.36447433,50025,22.881852238810406
13,-72.564,43.228,0.35155034,50025,8.489453914333795
12,-72.951,43.862,0.70072466,50027,34.11553239607561
9,-72.699,43.702,0.5781432,50027,19.20449576450232
13,-72.806,43.834,0.5766496,50027,26.67796488286306
6,-72.738,43.597,0.5593566,50027,21.889443620682183
4,-72.632,43.465,0.42646176,50027,21.712684885122023
7,-72.593,43.569,0.38673952,50027,15.843497557301038
14,-72.661,43.806,0.3600339,50027,19.287143294321496
0,-72.708,43.255,0.3385652,50027,35.34634097472064
