FIPS,Selected_Locations,STATE,COUNTYNAME,city,lat,lon,population,Zone
48355,7,TX,Nueces,Corpus Christi,27.7254,-97.3767,368802,152
48359,8,TX,Oldham,Vega,35.2453,-102.4294,1393,153
48363,8,TX,Palo Pinto,Mineral Wells,32.8169,-98.0776,17698,154
48367,7,TX,Parker,Weatherford,32.7536,-97.7723,62128,155
48369,7,TX,Parmer,Friona,34.6394,-102.723,6965,156
48371,8,TX,Pecos,Fort Stockton,30.8926,-102.8842,10244,157
48375,8,TX,Potter,Amarillo,35.1984,-101.8316,208261,158
48377,8,TX,Presidio,Presidio,29.5603,-104.3653,5544,159
48379,2,TX,Rains,Emory,32.8766,-95.7677,3222,160
48381,8,TX,Randall,Canyon,34.9911,-101.919,18609,161
48383,8,TX,Reagan,Big Lake,31.1941,-101.4534,3092,162
48385,8,TX,Real,Camp Wood,29.6691,-100.0108,1434,163
48387,8,TX,Red River,Clarksville,33.611,-95.0563,5576,164
48389,8,TX,Reeves,Balmorhea,30.984,-103.7438,539,165
48391,8,TX,Refugio,Refugio,28.3074,-97.275,5037,166
48393,7,TX,Roberts,Miami,35.6923,-100.6417,469,167
48395,8,TX,Robertson,Hearne,30.877,-96.5956,7810,168
48397,0,TX,Rockwall,Rockwall,32.9169,-96.4374,102374,169
48399,8,TX,Runnels,Ballinger,31.7394,-99.9559,7227,170
48401,4,TX,Rusk,Henderson,32.1576,-94.796,22752,171
48409,4,TX,San Patricio,Portland,27.8942,-97.3278,53187,172
48411,8,TX,San Saba,San Saba,31.1975,-98.7194,3314,173
48413,8,TX,Schleicher,Eldorado,30.8617,-100.5979,1793,174
48415,8,TX,Scurry,Snyder,32.7133,-100.9116,11791,175
48417,8,TX,Shackelford,Albany,32.7272,-99.2957,1917,176
48423,7,TX,Smith,Tyler,32.3184,-95.3062,159827,177
48425,1,TX,Somervell,Glen Rose,32.2461,-97.7442,2770,178
48427,8,TX,Starr,Rio Grande City,26.3808,-98.8215,51455,179
48429,8,TX,Stephens,Breckenridge,32.7566,-98.9125,5182,180
48431,8,TX,Sterling,Sterling City,31.8392,-100.986,1173,181
48433,8,TX,Stonewall,Aspermont,33.1405,-100.2253,953,182
48435,8,TX,Sutton,Sonora,30.5707,-100.6423,2746,183
48437,7,TX,Swisher,Tulia,34.5374,-101.7741,5768,184
48439,2,TX,Tarrant,Fort Worth,32.7817,-97.3474,2050487,185
48441,7,TX,Taylor,Abilene,32.4543,-99.7384,137339,186
48443,8,TX,Terrell,Sanderson,30.1508,-102.4079,678,187
48447,8,TX,Throckmorton,Woodson,33.0149,-99.0534,1046,188
48449,5,TX,Titus,Mount Pleasant,33.1586,-94.9727,17104,189
48451,8,TX,Tom Green,San Angelo,31.4424,-100.4504,104626,190
48453,4,TX,Travis,Austin,30.3005,-97.7522,2115335,191
48461,8,TX,Upton,McCamey,31.1325,-102.22,2739,192
48463,8,TX,Uvalde,Uvalde,29.2152,-99.7782,19372,193
48465,8,TX,Val Verde,Del Rio,29.3708,-100.8801,41834,194
48467,5,TX,Van Zandt,Canton,32.5546,-95.8641,20235,195
48469,7,TX,Victoria,Victoria,28.8287,-96.9849,72437,196
48471,7,TX,Walker,Huntsville,30.7009,-95.5567,49143,197
48473,4,TX,Waller,Katy,29.7905,-95.8353,48325,198
48475,8,TX,Ward,Monahans,31.6289,-103.0403,10643,199
48477,1,TX,Washington,Brenham,30.1584,-96.3966,18305,200
48479,8,TX,Webb,Laredo,27.5625,-99.4874,266612,201
48481,8,TX,Wharton,El Campo,29.2,-96.2723,25097,202
48483,8,TX,Wheeler,Shamrock,35.2154,-100.2462,3499,203
48485,4,TX,Wichita,Wichita Falls,33.9072,-98.5291,123066,204
48487,8,TX,Wilbarger,Vernon,34.1479,-99.3,10434,205
48489,8,TX,Willacy,Raymondville,26.4759,-97.7769,16202,206
48491,7,TX,Williamson,Round Rock,30.527,-97.6642,447615,207
48493,8,TX,Wilson,Floresville,29.1451,-98.1651,11652,208
48495,8,TX,Winkler,Kermit,31.854,-103.0924,7009,209
48497,3,TX,Wise,Decatur,33.2263,-97.5875,32053,210
48499,2,TX,Wood,Mineola,32.6462,-95.4774,16153,211
48503,7,TX,Young,Graham,33.1017,-98.5779,12525,212
48505,8,TX,Zapata,Zapata,26.9026,-99.2612,12945,213
48507,8,TX,Zavala,Crystal City,28.6908,-99.8258,8985,214
