,name,mask,lat,lon,loc_index,FIPS
169,23027_wind_1,48.764376,44.359,-69.311,1.0,23027.0
170,23027_wind_2,61.9804656,44.462,-69.267,2.0,23027.0
171,23027_wind_3,48.22488,44.431,-69.122,3.0,23027.0
172,23027_wind_4,61.46764272,44.597,-69.368,4.0,23027.0
173,23027_wind_5,55.06019424,44.566,-69.223,5.0,23027.0
174,23027_wind_6,64.91150927999999,44.7,-69.324,6.0,23027.0
175,23027_wind_7,50.65162848,44.637,-69.034,7.0,23027.0
176,23029_wind_0,100.67058288,44.823,-67.836,0.0,23029.0
177,23029_wind_1,100.9493784,44.79,-67.691,1.0,23029.0
178,23029_wind_2,99.64466639999999,44.926,-67.789,2.0,23029.0
179,23029_wind_3,103.2231024,45.538,-67.993,3.0,23029.0
180,23029_wind_4,92.446776,45.505,-67.847,4.0,23029.0
181,23029_wind_5,93.794832,45.472,-67.7,5.0,23029.0
182,23029_wind_6,102.1421232,45.439,-67.554,6.0,23029.0
183,23029_wind_7,93.05317439999999,45.641,-67.946,7.0,23029.0
184,23031_wind_0,42.44503968,43.298,-70.685,0.0,23031.0
185,23031_wind_1,41.16567312,43.462,-70.931,1.0,23031.0
186,23031_wind_2,44.58565728,43.566,-70.89,2.0,23031.0
187,23031_wind_3,40.65505344,43.536,-70.746,3.0,23031.0
188,23031_wind_4,51.0173928,43.67,-70.848,4.0,23031.0
189,23031_wind_5,41.7891816,43.64,-70.705,5.0,23031.0
190,23031_wind_6,47.56492512,43.774,-70.807,6.0,23031.0
191,23031_wind_7,38.47948992,43.744,-70.663,7.0,23031.0
192,25001_wind_0,40.18796208,41.689,-70.55,0.0,25001.0
193,25001_wind_1,0.0,,,1.0,25001.0
194,25001_wind_2,0.0,,,2.0,25001.0
195,25001_wind_3,0.0,,,3.0,25001.0
196,25001_wind_4,0.0,,,4.0,25001.0
197,25001_wind_5,0.0,,,5.0,25001.0
198,25001_wind_6,0.0,,,6.0,25001.0
199,25001_wind_7,0.0,,,7.0,25001.0
200,25003_wind_0,46.00075968,42.261,-73.367,0.0,25003.0
201,25003_wind_1,52.7825736,42.234,-73.225,1.0,25003.0
202,25003_wind_2,48.960103679999996,42.339,-73.188,2.0,25003.0
203,25003_wind_3,55.325750400000004,42.471,-73.293,3.0,25003.0
204,25003_wind_4,50.1020928,42.417,-73.009,4.0,25003.0
205,25003_wind_5,74.897712,42.576,-73.257,5.0,25003.0
206,25003_wind_6,63.74846016,42.681,-73.22,6.0,25003.0
207,25003_wind_7,56.04972479999999,42.654,-73.077,7.0,25003.0
208,25005_wind_0,0.0,,,0.0,25005.0
209,25005_wind_1,0.0,,,1.0,25005.0
210,25005_wind_2,0.0,,,2.0,25005.0
211,25005_wind_3,0.0,,,3.0,25005.0
212,25005_wind_4,0.0,,,4.0,25005.0
213,25005_wind_5,0.0,,,5.0,25005.0
214,25005_wind_6,0.0,,,6.0,25005.0
215,25005_wind_7,0.0,,,7.0,25005.0
216,25009_wind_0,0.0,,,0.0,25009.0
217,25009_wind_1,0.0,,,1.0,25009.0
218,25009_wind_2,0.0,,,2.0,25009.0
219,25009_wind_3,0.0,,,3.0,25009.0
220,25009_wind_4,0.0,,,4.0,25009.0
221,25009_wind_5,0.0,,,5.0,25009.0
222,25009_wind_6,0.0,,,6.0,25009.0
223,25009_wind_7,0.0,,,7.0,25009.0
224,25011_wind_0,42.4804752,42.494,-72.829,0.0,25011.0
225,25011_wind_1,69.7025736,42.627,-72.934,1.0,25011.0
226,25011_wind_2,49.3464096,42.599,-72.792,2.0,25011.0
227,25011_wind_3,52.79746032,42.515,-72.365,3.0,25011.0
228,25011_wind_4,49.7507544,42.731,-72.897,4.0,25011.0
229,25011_wind_5,57.375763199999994,42.704,-72.754,5.0,25011.0
230,25011_wind_6,44.38705248,42.648,-72.469,6.0,25011.0
231,25011_wind_7,49.507771680000005,42.62,-72.327,7.0,25011.0
232,25013_wind_0,57.20571648,42.074,-72.978,0.0,25013.0
233,25013_wind_1,35.09342208,42.047,-72.837,1.0,25013.0
234,25013_wind_2,47.4739344,42.179,-72.941,2.0,25013.0
235,25013_wind_3,39.666009599999995,42.04,-72.234,3.0,25013.0
236,25013_wind_4,48.7292112,42.284,-72.904,4.0,25013.0
237,25013_wind_5,30.0666816,42.144,-72.196,5.0,25013.0
238,25013_wind_6,0.0,,,6.0,25013.0
239,25013_wind_7,0.0,,,7.0,25013.0
240,25015_wind_0,41.588758080000005,42.257,-72.762,0.0,25015.0
241,25015_wind_1,45.64348992,42.389,-72.867,1.0,25015.0
242,25015_wind_2,39.91526496,42.361,-72.725,2.0,25015.0
243,25015_wind_3,28.90053648,42.306,-72.441,3.0,25015.0
244,25015_wind_4,29.16899136,42.278,-72.299,4.0,25015.0
245,25015_wind_5,58.53014784,42.522,-72.972,5.0,25015.0
246,25015_wind_6,51.05022624,42.41,-72.403,6.0,25015.0
247,25015_wind_7,0.0,,,7.0,25015.0
248,25017_wind_0,0.0,,,0.0,25017.0
249,25017_wind_1,0.0,,,1.0,25017.0
250,25017_wind_2,0.0,,,2.0,25017.0
251,25017_wind_3,0.0,,,3.0,25017.0
252,25017_wind_4,0.0,,,4.0,25017.0
253,25017_wind_5,0.0,,,5.0,25017.0
254,25017_wind_6,0.0,,,6.0,25017.0
255,25017_wind_7,0.0,,,7.0,25017.0
256,25021_wind_0,0.0,,,0.0,25021.0
257,25021_wind_1,0.0,,,1.0,25021.0
258,25021_wind_2,0.0,,,2.0,25021.0
259,25021_wind_3,0.0,,,3.0,25021.0
260,25021_wind_4,0.0,,,4.0,25021.0
261,25021_wind_5,0.0,,,5.0,25021.0
262,25021_wind_6,0.0,,,6.0,25021.0
263,25021_wind_7,0.0,,,7.0,25021.0
264,25023_wind_0,0.0,,,0.0,25023.0
265,25023_wind_1,0.0,,,1.0,25023.0
266,25023_wind_2,0.0,,,2.0,25023.0
267,25023_wind_3,0.0,,,3.0,25023.0
268,25023_wind_4,0.0,,,4.0,25023.0
269,25023_wind_5,0.0,,,5.0,25023.0
270,25023_wind_6,0.0,,,6.0,25023.0
271,25023_wind_7,0.0,,,7.0,25023.0
272,25025_wind_0,0.0,,,0.0,25025.0
273,25025_wind_1,0.0,,,1.0,25025.0
274,25025_wind_2,0.0,,,2.0,25025.0
275,25025_wind_3,0.0,,,3.0,25025.0
276,25025_wind_4,0.0,,,4.0,25025.0
277,25025_wind_5,0.0,,,5.0,25025.0
278,25025_wind_6,0.0,,,6.0,25025.0
279,25025_wind_7,0.0,,,7.0,25025.0
280,25027_wind_0,40.8889584,42.382,-72.261,0.0,25027.0
281,25027_wind_1,49.5277056,42.487,-72.223,1.0,25027.0
282,25027_wind_2,33.03994176,42.459,-72.081,2.0,25027.0
283,25027_wind_3,31.91445216,42.592,-72.185,3.0,25027.0
284,25027_wind_4,35.91507024,42.696,-72.146,4.0,25027.0
285,25027_wind_5,0.0,,,5.0,25027.0
286,25027_wind_6,0.0,,,6.0,25027.0
287,25027_wind_7,0.0,,,7.0,25027.0
288,33001_wind_0,39.129321600000004,43.446,-71.402,0.0,33001.0
289,33001_wind_1,38.57147424,43.417,-71.258,1.0,33001.0
290,33001_wind_2,50.392116,43.608,-71.649,2.0,33001.0
291,33001_wind_3,30.06904608,43.521,-71.218,3.0,33001.0
292,33001_wind_4,0.0,,,4.0,33001.0
293,33001_wind_5,0.0,,,5.0,33001.0
294,33001_wind_6,0.0,,,6.0,33001.0
295,33001_wind_7,0.0,,,7.0,33001.0
296,33003_wind_0,102.0277008,43.892,-71.385,0.0,33003.0
297,33003_wind_1,68.0037552,43.863,-71.24,1.0,33003.0
298,33003_wind_2,101.96321760000001,43.996,-71.344,2.0,33003.0
299,33003_wind_3,76.80043296,43.967,-71.199,3.0,33003.0
300,33003_wind_4,111.08251440000001,44.1,-71.303,4.0,33003.0
301,33003_wind_5,82.67859935999999,44.071,-71.158,5.0,33003.0
302,33003_wind_6,116.69508,44.204,-71.263,6.0,33003.0
303,33003_wind_7,116.23719744,44.175,-71.117,7.0,33003.0
304,33005_wind_0,49.2856632,42.753,-72.431,0.0,33005.0
305,33005_wind_1,52.625563199999995,42.725,-72.288,1.0,33005.0
306,33005_wind_2,46.7155296,42.858,-72.393,2.0,33005.0
307,33005_wind_3,50.632814880000005,42.829,-72.25,3.0,33005.0
308,33005_wind_4,41.39414496,42.801,-72.107,4.0,33005.0
309,33005_wind_5,40.3574112,42.962,-72.354,5.0,33005.0
310,33005_wind_6,51.80630112,43.067,-72.316,6.0,33005.0
311,33005_wind_7,58.6804608,43.039,-72.173,7.0,33005.0
312,33007_wind_0,123.02316,44.234,-71.408,0.0,33007.0
313,33007_wind_1,112.5804744,44.338,-71.367,1.0,33007.0
314,33007_wind_2,110.61277199999999,44.308,-71.222,2.0,33007.0
315,33007_wind_3,128.0295936,44.279,-71.076,3.0,33007.0
316,33007_wind_4,116.6985792,44.442,-71.326,4.0,33007.0
317,33007_wind_5,116.20854720000001,44.383,-71.035,5.0,33007.0
318,33007_wind_6,117.57116160000001,44.783,-71.349,6.0,33007.0
319,33007_wind_7,116.9424576,45.228,-71.332,7.0,33007.0
320,33009_wind_0,86.6347776,43.903,-72.003,0.0,33009.0
321,33009_wind_1,111.96457056,43.979,-71.819,1.0,33009.0
322,33009_wind_2,115.61924160000001,43.921,-71.529,2.0,33009.0
323,33009_wind_3,107.00597808,44.083,-71.779,3.0,33009.0
324,33009_wind_4,108.4391136,44.054,-71.634,4.0,33009.0
325,33009_wind_5,127.61579520000001,44.025,-71.489,5.0,33009.0
326,33009_wind_6,127.831032,44.158,-71.594,6.0,33009.0
327,33009_wind_7,133.4046816,44.129,-71.448,7.0,33009.0
328,33011_wind_0,31.641315839999997,42.744,-71.822,0.0,33011.0
329,33011_wind_1,34.579676160000005,42.877,-71.926,1.0,33011.0
330,33011_wind_2,31.02912,42.848,-71.783,2.0,33011.0
331,33011_wind_3,45.8473824,43.01,-72.03,3.0,33011.0
332,33011_wind_4,37.928328480000005,42.982,-71.887,4.0,33011.0
333,33011_wind_5,30.277598400000002,42.953,-71.744,5.0,33011.0
334,33011_wind_6,49.95460224,43.115,-71.991,6.0,33011.0
335,33011_wind_7,34.1733384,43.086,-71.847,7.0,33011.0
336,33013_wind_0,49.965575040000004,43.219,-71.951,0.0,33013.0
337,33013_wind_1,56.6957232,43.324,-71.912,1.0,33013.0
338,33013_wind_2,41.34292128,43.295,-71.769,2.0,33013.0
339,33013_wind_3,58.985471520000004,43.428,-71.873,3.0,33013.0
340,33013_wind_4,49.01444352,43.399,-71.729,4.0,33013.0
341,33013_wind_5,45.151012800000004,43.371,-71.585,5.0,33013.0
342,33013_wind_6,55.9567296,43.533,-71.833,6.0,33013.0
343,33013_wind_7,44.24087088,43.504,-71.689,7.0,33013.0
344,33015_wind_0,28.81228032,43.074,-71.236,0.0,33015.0
345,33015_wind_1,34.53765264,43.179,-71.196,1.0,33015.0
346,33015_wind_2,0.0,,,2.0,33015.0
347,33015_wind_3,0.0,,,3.0,33015.0
348,33015_wind_4,0.0,,,4.0,33015.0
349,33015_wind_5,0.0,,,5.0,33015.0
350,33015_wind_6,0.0,,,6.0,33015.0
351,33015_wind_7,0.0,,,7.0,33015.0
352,33017_wind_0,32.18069952,43.283,-71.155,0.0,33017.0
353,33017_wind_1,43.425282239999994,43.387,-71.115,1.0,33017.0
354,33017_wind_2,54.32989392,43.491,-71.074,2.0,33017.0
355,33017_wind_3,0.0,,,3.0,33017.0
356,33017_wind_4,0.0,,,4.0,33017.0
357,33017_wind_5,0.0,,,5.0,33017.0
358,33017_wind_6,0.0,,,6.0,33017.0
359,33017_wind_7,0.0,,,7.0,33017.0
360,33019_wind_0,42.6652128,43.171,-72.277,0.0,33019.0
361,33019_wind_1,49.346045280000006,43.143,-72.134,1.0,33019.0
362,33019_wind_2,80.69591519999999,43.248,-72.095,2.0,33019.0
363,33019_wind_3,44.801773919999995,43.409,-72.343,3.0,33019.0
364,33019_wind_4,43.570378080000005,43.381,-72.2,4.0,33019.0
365,33019_wind_5,51.7840056,43.513,-72.305,5.0,33019.0
366,33019_wind_6,59.235264,43.485,-72.161,6.0,33019.0
367,33019_wind_7,48.965083199999995,43.457,-72.017,7.0,33019.0
368,44003_wind_0,39.0426984,41.611,-71.787,0.0,44003.0
369,44003_wind_1,0.0,,,1.0,44003.0
370,44003_wind_2,0.0,,,2.0,44003.0
371,44003_wind_3,0.0,,,3.0,44003.0
372,44003_wind_4,0.0,,,4.0,44003.0
373,44003_wind_5,0.0,,,5.0,44003.0
374,44003_wind_6,0.0,,,6.0,44003.0
375,44003_wind_7,0.0,,,7.0,44003.0
376,44005_wind_0,0.0,,,0.0,44005.0
377,44005_wind_1,0.0,,,1.0,44005.0
378,44005_wind_2,0.0,,,2.0,44005.0
379,44005_wind_3,0.0,,,3.0,44005.0
380,44005_wind_4,0.0,,,4.0,44005.0
381,44005_wind_5,0.0,,,5.0,44005.0
382,44005_wind_6,0.0,,,6.0,44005.0
383,44005_wind_7,0.0,,,7.0,44005.0
384,44007_wind_0,0.0,,,0.0,44007.0
385,44007_wind_1,0.0,,,1.0,44007.0
386,44007_wind_2,0.0,,,2.0,44007.0
387,44007_wind_3,0.0,,,3.0,44007.0
388,44007_wind_4,0.0,,,4.0,44007.0
389,44007_wind_5,0.0,,,5.0,44007.0
390,44007_wind_6,0.0,,,6.0,44007.0
391,44007_wind_7,0.0,,,7.0,44007.0
392,44009_wind_0,29.9038536,41.582,-71.647,0.0,44009.0
393,44009_wind_1,0.0,,,1.0,44009.0
394,44009_wind_2,0.0,,,2.0,44009.0
395,44009_wind_3,0.0,,,3.0,44009.0
396,44009_wind_4,0.0,,,4.0,44009.0
397,44009_wind_5,0.0,,,5.0,44009.0
398,44009_wind_6,0.0,,,6.0,44009.0
399,44009_wind_7,0.0,,,7.0,44009.0
400,50001_wind_0,46.3219344,43.811,-73.279,0.0,50001.0
401,50001_wind_1,45.10515168,43.943,-73.387,1.0,50001.0
402,50001_wind_2,52.6338504,43.916,-73.242,2.0,50001.0
403,50001_wind_3,49.09412448,43.889,-73.096,3.0,50001.0
404,50001_wind_4,67.8641616,43.994,-73.058,4.0,50001.0
405,50001_wind_5,98.5234176,43.966,-72.913,5.0,50001.0
406,50001_wind_6,69.56894016,44.098,-73.02,6.0,50001.0
407,50001_wind_7,72.57790656,44.203,-72.982,7.0,50001.0
408,50003_wind_0,74.2192848,42.759,-73.04,0.0,50003.0
409,50003_wind_1,71.02329408,42.891,-73.146,1.0,50003.0
410,50003_wind_2,89.5509072,42.864,-73.002,2.0,50003.0
411,50003_wind_3,98.62027632,42.996,-73.108,3.0,50003.0
412,50003_wind_4,87.3576504,43.128,-73.215,4.0,50003.0
413,50003_wind_5,84.3412032,43.101,-73.071,5.0,50003.0
414,50003_wind_6,83.93758128,43.233,-73.177,6.0,50003.0
415,50003_wind_7,82.8155952,43.206,-73.033,7.0,50003.0
416,50005_wind_0,51.7267152,44.273,-72.176,0.0,50005.0
417,50005_wind_1,49.1785632,44.349,-71.99,1.0,50005.0
418,50005_wind_2,48.77331408,44.538,-72.389,2.0,50005.0
419,50005_wind_3,59.4830448,44.51,-72.243,3.0,50005.0
420,50005_wind_4,43.648912800000005,44.481,-72.096,4.0,50005.0
421,50005_wind_5,63.11630448,44.614,-72.203,5.0,50005.0
422,50005_wind_6,66.21761232,44.557,-71.91,6.0,50005.0
423,50005_wind_7,53.67008448,44.69,-72.017,7.0,50005.0
424,50007_wind_0,35.04672,44.335,-73.09,0.0,50007.0
425,50007_wind_1,75.86937648,44.308,-72.944,1.0,50007.0
426,50007_wind_2,83.7384624,44.412,-72.906,2.0,50007.0
427,50007_wind_3,34.9679664,44.544,-73.014,3.0,50007.0
428,50007_wind_4,80.7026112,44.517,-72.867,4.0,50007.0
429,50007_wind_5,0.0,,,5.0,50007.0
430,50007_wind_6,0.0,,,6.0,50007.0
431,50007_wind_7,0.0,,,7.0,50007.0
432,50009_wind_0,91.99990656,44.529,-71.764,0.0,50009.0
433,50009_wind_1,105.17172479999999,44.633,-71.724,1.0,50009.0
434,50009_wind_2,96.4793808,44.737,-71.683,2.0,50009.0
435,50009_wind_3,104.0852592,44.87,-71.79,3.0,50009.0
436,50009_wind_4,102.4463088,44.841,-71.643,4.0,50009.0
437,50009_wind_5,121.6179144,45.002,-71.896,5.0,50009.0
438,50009_wind_6,114.822936,44.974,-71.749,6.0,50009.0
439,50009_wind_7,103.62179520000001,44.945,-71.602,7.0,50009.0
440,50011_wind_0,65.0344176,44.726,-72.79,0.0,50011.0
441,50011_wind_1,50.72865408,44.857,-72.898,1.0,50011.0
442,50011_wind_2,63.561988799999995,44.83,-72.751,2.0,50011.0
443,50011_wind_3,98.28738144,44.802,-72.604,3.0,50011.0
444,50011_wind_4,71.5229568,44.989,-73.007,4.0,50011.0
445,50011_wind_5,67.1022864,44.962,-72.86,5.0,50011.0
446,50011_wind_6,61.09753248,44.934,-72.712,6.0,50011.0
447,50011_wind_7,99.70958016,44.907,-72.565,7.0,50011.0
448,50013_wind_0,0.0,,,0.0,50013.0
449,50013_wind_1,0.0,,,1.0,50013.0
450,50013_wind_2,0.0,,,2.0,50013.0
451,50013_wind_3,0.0,,,3.0,50013.0
452,50013_wind_4,0.0,,,4.0,50013.0
453,50013_wind_5,0.0,,,5.0,50013.0
454,50013_wind_6,0.0,,,6.0,50013.0
455,50013_wind_7,0.0,,,7.0,50013.0
